               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031777,            0.029457,             0.00238,             0.90021,             0.84928,              0.9052,             0.53363,            0.032295,            0.023684,            0.001698,           0.0057925,           0.0057925,           0.0057925
                  36,            0.031672,            0.029469,           0.0023959,             0.90113,             0.84748,             0.90394,              0.5356,            0.031819,            0.023687,           0.0018177,           0.0056688,           0.0056688,           0.0056688
                  37,            0.031818,            0.029808,           0.0023118,             0.90035,             0.84929,              0.9053,             0.54038,            0.031615,            0.023345,            0.001751,            0.005545,            0.005545,            0.005545
                  38,            0.031639,            0.029593,           0.0022983,             0.90228,             0.85332,             0.90666,             0.53371,            0.031794,            0.023415,           0.0017936,           0.0054212,           0.0054212,           0.0054212
                  39,            0.031595,             0.02959,           0.0023431,              0.9066,             0.84434,             0.90777,             0.54673,             0.03146,            0.023296,           0.0015864,           0.0052975,           0.0052975,           0.0052975
                  40,            0.031613,             0.02931,           0.0023718,             0.88904,             0.85859,             0.90639,             0.53927,            0.031808,            0.023403,           0.0016654,           0.0051737,           0.0051737,           0.0051737
                  41,            0.031382,            0.028901,           0.0021925,              0.9035,             0.85805,             0.91135,             0.54618,            0.031675,            0.023354,           0.0015374,             0.00505,             0.00505,             0.00505
                  42,            0.031321,            0.029718,           0.0022713,             0.90497,             0.86262,             0.91118,             0.54409,            0.031725,            0.023246,            0.001614,           0.0049263,           0.0049263,           0.0049263
                  43,            0.031326,            0.029225,           0.0022376,             0.90804,             0.84872,              0.9095,              0.5464,            0.031623,            0.023197,           0.0016107,           0.0048025,           0.0048025,           0.0048025
                  44,            0.031078,            0.029025,           0.0020734,             0.90454,              0.8627,             0.91124,              0.5433,            0.031475,             0.02324,           0.0014452,           0.0046788,           0.0046788,           0.0046788
                  45,            0.030951,            0.028974,           0.0021067,             0.90211,             0.86159,             0.90968,             0.54491,            0.031547,            0.023255,            0.001544,            0.004555,            0.004555,            0.004555
                  46,            0.030774,            0.028975,           0.0020481,             0.90458,             0.86245,             0.90852,             0.54935,            0.031348,            0.023167,           0.0014817,           0.0044313,           0.0044313,           0.0044313
                  47,             0.03087,             0.02876,           0.0020598,             0.90054,             0.86085,             0.91007,              0.5435,            0.031523,            0.023447,           0.0015104,           0.0043075,           0.0043075,           0.0043075
                  48,            0.030728,            0.028586,           0.0019858,             0.90754,             0.86079,             0.91174,             0.54937,            0.031368,            0.023223,            0.001422,           0.0041837,           0.0041837,           0.0041837
                  49,            0.030689,            0.028524,           0.0019594,             0.90989,             0.85953,             0.90805,             0.54881,            0.031372,            0.023279,           0.0014471,             0.00406,             0.00406,             0.00406
                  50,            0.030658,            0.028843,           0.0019827,             0.90462,             0.86058,             0.90922,             0.54627,            0.031494,            0.023253,           0.0014184,           0.0039362,           0.0039362,           0.0039362
                  51,             0.03051,             0.02852,           0.0020783,             0.90543,             0.85943,             0.90924,             0.54861,            0.031407,            0.023207,           0.0015309,           0.0038125,           0.0038125,           0.0038125
                  52,            0.030513,            0.028524,           0.0019504,             0.90329,             0.86343,             0.91025,             0.54731,             0.03139,            0.023145,           0.0014809,           0.0036888,           0.0036888,           0.0036888
                  53,            0.030528,            0.028876,           0.0018765,             0.90531,             0.85822,             0.90902,             0.54453,            0.031439,            0.023113,           0.0014838,            0.003565,            0.003565,            0.003565
                  54,            0.030285,            0.028965,           0.0019042,             0.90928,             0.86155,             0.91096,             0.54654,             0.03138,            0.023239,            0.001401,           0.0034413,           0.0034413,           0.0034413
                  55,            0.030248,            0.028472,           0.0018386,             0.91385,             0.85406,             0.91005,             0.54782,            0.031343,            0.023238,           0.0014208,           0.0033175,           0.0033175,           0.0033175
                  56,            0.030117,            0.028268,           0.0019205,             0.91384,              0.8507,             0.90949,              0.5482,            0.031303,            0.023175,           0.0014935,           0.0031938,           0.0031938,           0.0031938
                  57,            0.030027,            0.027959,           0.0019145,             0.91137,             0.85379,             0.90859,             0.54814,             0.03134,            0.023228,           0.0015827,             0.00307,             0.00307,             0.00307
                  58,             0.03006,            0.028367,           0.0018644,             0.90726,             0.85674,             0.91027,             0.54689,            0.031393,            0.023224,            0.001478,           0.0029462,           0.0029462,           0.0029462
                  59,            0.029812,            0.028089,           0.0017649,             0.90652,             0.85968,             0.91095,             0.54745,            0.031321,            0.023217,           0.0014342,           0.0028225,           0.0028225,           0.0028225
                  60,            0.029717,            0.027667,           0.0017994,             0.90794,             0.85879,             0.91109,             0.54886,            0.031253,             0.02321,            0.001504,           0.0026987,           0.0026987,           0.0026987
                  61,            0.029641,             0.02775,           0.0017455,             0.90527,             0.85994,             0.91204,             0.55246,            0.031076,            0.023142,           0.0014848,            0.002575,            0.002575,            0.002575
                  62,            0.029748,             0.02787,           0.0017382,             0.90384,             0.86273,             0.91095,             0.55277,            0.031044,            0.023093,           0.0014288,           0.0024513,           0.0024513,           0.0024513
                  63,             0.02971,            0.027893,           0.0017637,             0.91043,             0.85906,             0.91129,             0.55221,            0.031066,             0.02316,           0.0015026,           0.0023275,           0.0023275,           0.0023275
                  64,            0.029505,            0.027767,           0.0016667,             0.91228,             0.85495,             0.91167,             0.55282,            0.031023,            0.023116,           0.0015009,           0.0022038,           0.0022038,           0.0022038
                  65,            0.029433,            0.027813,            0.001669,             0.91288,             0.85681,             0.91229,             0.55402,             0.03099,            0.023068,           0.0015124,             0.00208,             0.00208,             0.00208
                  66,            0.029489,             0.02746,            0.001587,             0.91437,             0.85456,             0.91347,             0.55443,            0.030977,            0.023047,           0.0014339,           0.0019563,           0.0019563,           0.0019563
                  67,            0.029237,            0.027332,           0.0015665,             0.90044,             0.85902,             0.91223,             0.55376,            0.031062,            0.023053,           0.0013617,           0.0018325,           0.0018325,           0.0018325
                  68,             0.02926,            0.027431,           0.0015453,             0.90595,             0.85688,             0.91199,             0.55191,            0.031108,            0.023029,           0.0013419,           0.0017087,           0.0017087,           0.0017087
                  69,             0.02925,            0.027282,           0.0015902,             0.90665,             0.85841,             0.91031,             0.55247,            0.031084,            0.023045,           0.0013422,            0.001585,            0.001585,            0.001585
                  70,            0.028901,            0.026793,           0.0014824,             0.90832,             0.86083,             0.90846,              0.5505,             0.03116,            0.023117,           0.0013419,           0.0014612,           0.0014612,           0.0014612
                  71,            0.028889,            0.026921,           0.0015125,             0.91112,              0.8608,             0.90778,             0.54807,            0.031192,            0.023124,           0.0013378,           0.0013375,           0.0013375,           0.0013375
                  72,            0.028953,            0.027025,           0.0014231,              0.9105,              0.8615,             0.90792,             0.54897,            0.031191,            0.023146,           0.0013816,           0.0012138,           0.0012138,           0.0012138
                  73,            0.028694,            0.027182,           0.0014871,             0.91044,             0.86127,             0.90868,             0.54837,            0.031248,            0.023189,           0.0014255,             0.00109,             0.00109,             0.00109
                  74,            0.028831,            0.026714,           0.0014694,             0.90739,             0.86572,             0.90954,             0.54882,            0.031226,            0.023177,           0.0014385,          0.00096625,          0.00096625,          0.00096625
                  75,            0.028686,            0.026809,           0.0014432,             0.90849,              0.8598,             0.90835,             0.54863,            0.031219,            0.023178,           0.0014638,           0.0008425,           0.0008425,           0.0008425
                  76,            0.028468,             0.02641,           0.0014097,              0.9059,             0.86103,             0.90856,             0.54808,            0.031232,            0.023189,           0.0014875,          0.00071875,          0.00071875,          0.00071875
                  77,            0.028531,            0.026893,           0.0013235,             0.90421,             0.86011,             0.90836,             0.54842,            0.031206,            0.023209,           0.0015089,            0.000595,            0.000595,            0.000595
                  78,            0.028596,            0.026604,           0.0013747,             0.90599,             0.85919,             0.90733,             0.54838,            0.031172,            0.023203,           0.0015218,          0.00047125,          0.00047125,          0.00047125
                  79,            0.028393,            0.026861,           0.0013204,             0.90525,             0.85952,             0.90711,             0.54905,            0.031161,            0.023203,           0.0015306,           0.0003475,           0.0003475,           0.0003475
